お兄さん,おにいさん
球,きゅう
球,たま
理想,りそう
理解,りかい
環境,かんきょう
瓶,びん
生,なま
生,なま
生き物,いきもの
生じる,しょうじる
生まれ,うまれ
生命,せいめい
生地,きじ
生物,せいぶつ
生産,せいさん
用いる,もちいる
用心,ようじん
田,た
申し訳,もうしわけ
申し込む,もうしこむ
男の人,おとこのひと
男子,だんし
画家,がか
畑,はたけ
留める,とめる
留学,りゅうがく
番,ばん
異なる,ことなる
異常,いじょう
疑う,うたがう
疑問,ぎもん
疲れ,つかれ
症状,しょうじょう
痛み,いたみ
癖,くせ
発展,はってん
発明,はつめい
発行,はっこう
発表,はっぴょう
発見,はっけん
発車,はっしゃ
発達,はったつ
登山,とざん
皆,みんな
皮,かわ
皿,さら
盛り,さかり
監督,かんとく
目標,もくひょう
目的,もくてき
直ちに,ただちに
直に,じかに
直接,ちょくせつ
相当,そうとう
相手,あいて
相続,そうぞく
相談,そうだん/そうだんする
省く,はぶく
県,けん
真っ直ぐ,まっすぐ
真っ赤,まっか
真似,まね
真剣,しんけん
真面目,まじめ
眺め,ながめ
眺める,ながめる
睡眠,すいみん
瞬間,しゅんかん
知らせ,しらせ
知事,ちじ
知恵,ちえ
知能,ちのう
知識,ちしき
石油,せきゆ
石炭,せきたん
砂漠,さばく
破る,やぶる
破産,はさん
硬い,かたい
硬貨,こうか
確かめる,たしかめる
確実,かくじつ
確認,かくにん
示す,しめす
礼,れい
礼儀,れいぎ
祝い,いわい
祝う,いわう
神,かみ
神経,しんけい
祭,まつり
禁止,きんし
禁煙,きんえん
科目,かもく
秒,びょう
秘密,ひみつ
移す,うつす
移動,いどう
程,ほど
程度,ていど
税,ぜい
税金,ぜいきん
種,たね
種類,しゅるい
稲,いね
稼ぐ,かせぐ
穀物,こくもつ
積もる,つもる
積極的,せっきょくてき
穏やか,おだやか
穴,あな
空,から
空き,あき
空く,すく
突然,とつぜん
立ち上がる,たちあがる
立場,たちば
立派,りっぱ
章,しょう
端,はし
競技,きょうぎ
笑い,わらい
笑顔,えがお
笛,ふえ
筆,ふで
等,など
等しい,ひとしい
筋,すじ
筋肉,きんにく
答案,とうあん
管,くだ
管理,かんり
節,ふし
節約,せつやく
範囲,はんい
籠,かご
粉,こな
粗い,あらい
粗末,そまつ
精々,せいぜい
精神,せいしん
約,やく
納得,なっとく
紐,ひも
級,きゅう
素晴らしい,すばらしい
終える,おえる
組,くみ
組む,くむ
組合,くみあい
組織,そしき
経つ,たつ
経営,けいえい
経由,けいゆ
経験,けいけん・する
結ぶ,むすぶ
結局,けっきょく
結果,けっか
結論,けつろん
給料,きゅうりょう
絵画,かいが
絶対,ぜったい
絶滅,ぜつめつ
続き,つづき
維持,いじ
綿,めん
綿,わた
緊張,きんちょう
練習,れんしゅう・する
縁,えん
縁,ふち
縄,なわ
